origen,destino,tipo,relacion_original,negada,documento_id,documento_fecha,frase_evidencia
Capitán,Público Asistente,CONOCE,CONOCE,True,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
DOC_1859,Público Asistente,MENCIONA,MENCIONA_DOCUMENTO,False,1859,1982-02-22,
Capitán,Público Asistente,NIEGA,NIEGA,False,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
Capitán,Sumario,CONOCE,CONOCE,True,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
DOC_1859,Sumario,MENCIONA,MENCIONA_DOCUMENTO,False,1859,1982-02-22,
Capitán,Sumario,NIEGA,NIEGA,False,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
Comandante Cortina,Procesados,CONOCE,CONOCE,True,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
Comandante Cortina,Procesados,NIEGA,NIEGA,False,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
Comandante Cortina,Público Asistente,CONOCE,CONOCE,True,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
Comandante Cortina,Público Asistente,NIEGA,NIEGA,False,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
Comandante Cortina,Sumario,CONOCE,CONOCE,True,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
Comandante Cortina,Sumario,NIEGA,NIEGA,False,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
Procesados,Público Asistente,CONOCE,CONOCE,True,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
Procesados,Público Asistente,NIEGA,NIEGA,False,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
Procesados,Sumario,CONOCE,CONOCE,True,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
Procesados,Sumario,NIEGA,NIEGA,False,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
Público Asistente,Sumario,CONOCE,CONOCE,True,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
Público Asistente,Sumario,NIEGA,NIEGA,False,1859,1982-02-22,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
Coronel San Martin,General Juste,CONOCE,CONOCE,True,1859,1982-02-22,"- Han sido leidas todas las certificaciones del General JUSTE, de las que se puede deducir: que no tenía conocimiento previo de los hechos; que el Coronel SAN MARTIN le ocultó los preparativos; que no se vió privado del ejercicio del mando; y que cuando pudo trató de confirmar la situación, obrando posteriormente en consecuencia."
DOC_1859,Coronel San Martin,MENCIONA,MENCIONA_DOCUMENTO,False,1859,1982-02-22,
DOC_1859,General Juste,MENCIONA,MENCIONA_DOCUMENTO,False,1859,1982-02-22,
Coronel San Martin,Mando,CONOCE,CONOCE,True,1859,1982-02-22,"- Han sido leidas todas las certificaciones del General JUSTE, de las que se puede deducir: que no tenía conocimiento previo de los hechos; que el Coronel SAN MARTIN le ocultó los preparativos; que no se vió privado del ejercicio del mando; y que cuando pudo trató de confirmar la situación, obrando posteriormente en consecuencia."
DOC_1859,Mando,MENCIONA,MENCIONA_DOCUMENTO,False,1859,1982-02-22,
General Juste,Mando,CONOCE,CONOCE,True,1859,1982-02-22,"- Han sido leidas todas las certificaciones del General JUSTE, de las que se puede deducir: que no tenía conocimiento previo de los hechos; que el Coronel SAN MARTIN le ocultó los preparativos; que no se vió privado del ejercicio del mando; y que cuando pudo trató de confirmar la situación, obrando posteriormente en consecuencia."
La Sala,Procesados,NIEGA,NIEGA,False,1858,1982-02-24,El primer rumor es que los procesados se niegan a entrar en -la Sala con motivo del artículo antes citado.
DOC_1858,La Sala,MENCIONA,MENCIONA_DOCUMENTO,False,1858,1982-02-24,
DOC_1858,Procesados,MENCIONA,MENCIONA_DOCUMENTO,False,1858,1982-02-24,
La Sala,Procesados,MENCIONA,MENCIONA,False,1858,1982-02-24,El primer rumor es que los procesados se niegan a entrar en -la Sala con motivo del artículo antes citado.
Defensores,La Sala,NIEGA,NIEGA,False,1858,1982-02-24,Después la noticia es que los defensores también se niegan a/entrar en la Sala.
DOC_1858,Defensores,MENCIONA,MENCIONA_DOCUMENTO,False,1858,1982-02-24,
Defensores,La Defensa,NIEGA,NIEGA,False,1858,1982-02-24,"Parece ser que los defensores se niegan, si no se dan estas -/ condiciones, a ejercer la defensa y se habla de que habrá que nombrar defensores de oficio."
DOC_1858,La Defensa,MENCIONA,MENCIONA_DOCUMENTO,False,1858,1982-02-24,
Diario 16,Periodistas,PERTENECE,PERTENECE_A,False,1858,1982-02-24,Con los periodistas pertenecientes a Diario 16 salen también Miguel Ángel Aguilar y dos periodistas más.
DOC_1858,Diario 16,MENCIONA,MENCIONA_DOCUMENTO,False,1858,1982-02-24,
DOC_1858,Periodistas,MENCIONA,MENCIONA_DOCUMENTO,False,1858,1982-02-24,
