documento_id,documento_titulo,documento_url,documento_fecha,entidad_1,relacion,negada,entidad_2,frase_evidencia
1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1859,1982-02-22,Capitán,NIEGA,False,Comandante Cortina,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1859,1982-02-22,Capitán,CONOCE,True,Procesados,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1859,1982-02-22,Capitán,NIEGA,False,Procesados,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1859,1982-02-22,Capitán,CONOCE,True,Público Asistente,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1859,1982-02-22,Capitán,NIEGA,False,Público Asistente,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1859,1982-02-22,Capitán,CONOCE,True,Sumario,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1859,1982-02-22,Capitán,NIEGA,False,Sumario,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1859,1982-02-22,Comandante Cortina,CONOCE,True,Procesados,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1859,1982-02-22,Comandante Cortina,NIEGA,False,Procesados,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1859,1982-02-22,Comandante Cortina,CONOCE,True,Público Asistente,"De las diligencias de hoy, para el público asistente que no conoce con detalle el Sumario, ha podido apreciarse en versión de los propios procesados lo siguiente:  - Comandante CORTINA y Capitán GOMEZ IGLESIAS: niegan todo contacto o participación conspirativa con el resto de procesados."
